Optimization storage folder ./simulations/storage/OPT_cobyla_Egg_CCS created
(-1851719.925, [], [])
(-1851719.925, [], [])
(-1864504.95, [], [])
(-1920287.985, [], [])
(-1949346.795, [], [])
(-1976349.375, [], [])
(-1978754.91, [], [])
(-1978754.91, [], [])
(-1978754.91, [], [])
(-1982367.42, [], [])
(-1983744.675, [], [])
(-1983744.675, [], [])
(-1983744.675, [], [])
(-1983744.675, [], [])
(-1983744.675, [], [])
(-1983744.675, [], [])
(-1983744.675, [], [])
(-1983744.675, [], [])
(-1983744.675, [], [])
(-1983744.675, [], [])
(-1983744.675, [], [])
(-1983744.675, [], [])
(-1983744.675, [], [])
(-1983744.675, [], [])
(-1983744.675, [], [])
(-1983744.675, [], [])
(-1983744.675, [], [])
(-1983744.675, [], [])
(-1983744.675, [], [])
(-1983744.675, [], [])
(-1983744.675, [], [])
