Optimization storage folder ./simulations/storage/OPT_cobyla_Egg_CCS_2 created
(-1896414.3, [], [])
(-1823363.85, [], [])
(-1883720.52, [], [])
(-1896414.3, [], [])
(-1833384.96, [], [])
(-1966194.285, [], [])
(-1966194.285, [], [])
(-1966194.285, [], [])
(-1966194.285, [], [])
(-1966194.285, [], [])
(-1966194.285, [], [])
(-1966194.285, [], [])
(-1966194.285, [], [])
(-1966194.285, [], [])
(-1966194.285, [], [])
(-1966194.285, [], [])
(-1966194.285, [], [])
(-1966194.285, [], [])
(-1966194.285, [], [])
(-1966194.285, [], [])
(-1966194.285, [], [])
(-1966194.285, [], [])
(-1966194.285, [], [])
(-1966194.285, [], [])
(-1966194.285, [], [])
(-1966194.285, [], [])
(-1966194.285, [], [])
